mal_id,title,title_english,title_japanese,type,source,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,producers,licensors,studios,genres,explicit_genres,themes,demographics
38731,Diamond no Ace: Act II,Ace of Diamond Act II,ダイヤのA[エース] actII,TV,Manga,52.0,Finished Airing,False,"Apr 2, 2019 to Mar 31, 2020",24 min per ep,PG-13 - Teens 13 or older,8.27,47890.0,313.0,2294,95257,1041,,spring,Tuesdays at 17:55 (JST),"TV Tokyo, Sotsu, Pony Canyon, Kodansha, AT-X, DAX Production",,Madhouse,Sports,,"School, Team Sports",Shounen
19363,Gin no Saji 2nd Season,Silver Spoon 2nd Season,銀の匙,TV,Manga,11.0,Finished Airing,False,"Jan 10, 2014 to Mar 28, 2014",24 min per ep,PG-13 - Teens 13 or older,8.27,92198.0,317.0,1650,149525,689,,winter,Fridays at 00:50 (JST),"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Comedy,,School,Shounen
34798,Yuru Camp△,Laid-Back Camp,ゆるキャン△,TV,Manga,12.0,Finished Airing,False,"Jan 4, 2018 to Mar 22, 2018",23 min per ep,PG-13 - Teens 13 or older,8.27,228827.0,312.0,457,516783,11602,,winter,Thursdays at 23:00 (JST),"Sotsu, AT-X, Sony Music Communications, MAGES., 81 Produce, BS11, FuRyu, Crunchyroll SC Anime Fund",,C-Station,Slice of Life,,"CGDCT, Iyashikei",
30346,Doukyuusei,Doukyusei: Classmates,同級生,Movie,Manga,1.0,Finished Airing,False,"Feb 20, 2016",1 hr,PG-13 - Teens 13 or older,8.27,151050.0,315.0,918,281490,6358,,,,"Aniplex, Half H.P Studio",Aniplex of America,A-1 Pictures,Boys Love,,School,
25835,Shirobako,Shirobako,SHIROBAKO,TV,Original,24.0,Finished Airing,False,"Oct 9, 2014 to Mar 26, 2015",24 min per ep,PG-13 - Teens 13 or older,8.27,146151.0,309.0,528,457279,6249,Shirobako won the Animation Kobe Television Award in 2015. It also won the Animation of the Year award in the Television category at the Tokyo Anime Award Festival in 2016.,fall,Thursdays at 23:30 (JST),"Sotsu, Movic, Warner Bros. Japan, KlockWorx, Showgate, Infinite, Imagine",Sentai Filmworks,P.A. Works,"Award Winning, Comedy, Drama",,"Adult Cast, Otaku Culture, Workplace",
38691,Dr. Stone,Dr. Stone,ドクターストーン,TV,Manga,24.0,Finished Airing,False,"Jul 5, 2019 to Dec 13, 2019",24 min per ep,PG-13 - Teens 13 or older,8.27,1108141.0,316.0,49,1834087,29436,Dr. Stone adapts chapters 1-60 of the manga.,summer,Fridays at 22:00 (JST),"TOHO animation, Shueisha, 8PAN","Funimation, Crunchyroll",TMS Entertainment,"Adventure, Comedy, Sci-Fi",,,Shounen
50594,Suzume no Tojimari,Suzume,すずめの戸締まり,Movie,Original,1.0,Finished Airing,False,"Nov 11, 2022",2 hr 1 min,PG-13 - Teens 13 or older,8.27,231647.0,310.0,571,427656,5098,"The film had its first preview screening in IMAX on November 7, 2022. Suzume no Tojimari was nominated for Best Animated Feature Film at the 81st Golden Globe Awards.",,,"Aniplex, TOHO, JR East Marketing & Communications, Kadokawa, voque ting, STORY, Lawson Entertainment",Crunchyroll,CoMix Wave Films,"Adventure, Supernatural",,Mythology,
10087,Fate/Zero,Fate/Zero,フェイト/ゼロ,TV,Light novel,13.0,Finished Airing,False,"Oct 2, 2011 to Dec 25, 2011",27 min per ep,R - 17+ (violence & profanity),8.27,884330.0,316.0,81,1546870,34002,"Fate/Zero was simulcasted around the world, with subtitles covering eight major languages. It is currently licensed by Aniplex of America for release in North America.",fall,Sundays at 00:00 (JST),"Aniplex, Nitroplus, Seikaisha, Notes",Aniplex of America,ufotable,"Action, Fantasy",,Urban Fantasy,
43,Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,Movie,Manga,1.0,Finished Airing,False,"Nov 18, 1995",1 hr 22 min,R+ - Mild Nudity,8.27,344504.0,319.0,337,665823,13515,"Mamoru Oshii's Ghost in the Shell was the first film to adapt Masamune Shirow's manga of the same name. It heavily condenses the original storyline, reducing the original material's comic relief and sexual content in favor of a more serious tone and changing the setting from Japan to a city modelled after Hong Kong. The artwork within the animated film was produced using an innovative mix of cel animation and digital effects. Ghost in the Shell is one of the world's most famous Japanese animated films, being the first to reach #1 on Billboard magazine's video best-seller list, and also served as a major inspiration for the Wachowskis in their creation of the Matrix movies. A special edition titled Ghost in the Shell: 2.0 was released in 2008, which features scenes reanimated with additional CGI to match the style of the 2004's sequel, Ghost in the Shell: Innocence.",,,"Bandai Visual, Kodansha",Manga Entertainment,Production I.G,"Action, Award Winning, Mystery, Sci-Fi, Suspense",,"Adult Cast, Detective, Mecha, Psychological",Seinen
10408,Hotarubi no Mori e,Into the Forest of Fireflies' Light,蛍火の杜へ,Movie,Manga,1.0,Finished Airing,False,"Sep 17, 2011",45 min,G - All Ages,8.27,472830.0,318.0,231,848540,10450,"Hotarubi no Mori e premiered in Japanese cinemas on September 17, 2011. Though initially planned to be first presented in March 2011 at the Anime Contents Expo in Chiba, Japan, the event was canceled due to the 2011 Tohoku earthquake and tsunami. In Europe, the movie was shown at the 2011 Scotland Loves Animation festival, twice: in Glasgow and then in Edinburgh. The film was also screened at the 2011 Leeds International Film Festival in November and at the Anime Expo convention in Los Angeles on June 30, 2012. Following its premiere in Scotland, Hotarubi no Mori e won the festival's Jury Award. It was also given the Animation Film Award at the 66th Annual Mainichi Film Awards in Japan. DVDs and limited edition Blu-ray disc sets were made available in Japan on February 22, 2012. The sets included bonus content such as illustrations, stickers, brochures, and one of Gin's masks. According to Japan's Oricon sales chart, Blu-ray disc sets sold well shortly after their release.",,,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, DAX Production",,Brain's Base,"Award Winning, Drama, Romance, Supernatural",,,Shoujo
